stockName,date,return,sumSD,maxNegDay,maxNegTime,totalVolume,numberOfTrades,callsSum,putsSum,maxCall,maxPut,differenceSumOfCallsAndPuts,differenceMaxCallAndPut,spread
ABEV3,2017-01-02,-0.548780487804879,0,1e+05,704700,4265400,9421,497400,176800,25000,10100,320600,14900,0.0240096038415365
ABEV3,2017-01-03,2.0232985898222,250000,250000,1360900,9535500,17890,2185200,33200,1499500,6000,2152000,1493500,0.0137972405518896
ABEV3,2017-01-04,-0.781249999999989,3017400,1e+06,4319400,9426500,12262,781000,476800,159500,50000,304200,109500,0.0138055222088836
ABEV3,2017-01-05,0.545124167171407,2615700,1e+06,3643500,11555800,16549,1476600,303700,4e+05,24900,1172900,375100,0.0161194029850746
ABEV3,2017-01-06,-0.843373493975907,1175100,550000,1478700,7863200,18978,5128800,393300,2004600,165800,4735500,1838800,0.0168269230769231
ABEV3,2017-01-09,0.425273390036462,1101400,5e+05,1178300,8753100,22889,3683900,736800,850000,350000,2947100,5e+05,0.0221027479091994
ABEV3,2017-01-10,-1.14942528735633,1100000,5e+05,1069300,7887800,20478,3052300,1368800,8e+05,498500,1683500,301500,0.0215956808638274
ABEV3,2017-01-11,0.428396572827427,1091700,750000,902100,9694800,18539,1663200,1844200,411500,699900,-181000,-288400,0.0194057004244995
ABEV3,2017-01-12,3.16879951249238,5033200,1e+06,4821700,18340400,29370,5287200,1519200,1e+06,5e+05,3768000,5e+05,0.0276145710928319
ABEV3,2017-01-13,1.06320141760188,2448300,1985000,2e+06,10099300,21751,7975500,8942200,3796500,3796500,-966700,0,0.021015761821366
ABEV3,2017-01-16,-0.350672121566331,3093500,1e+06,1637900,8201000,16117,5265800,8912200,4e+06,4e+06,-3646400,0,0.0174418604651163
ABEV3,2017-01-17,0.879765395894427,6533900,1800000,3313400,18257800,20880,3932900,1481200,8e+05,7e+05,2451700,1e+05,0.0232558139534883
ABEV3,2017-01-18,0.348837209302344,6837100,1500000,1564400,18812200,22758,3408400,387000,960000,38000,3021400,922000,0.0279361459521094
ABEV3,2017-01-19,0.231749710312856,2382200,719900,2390800,10832000,22776,1611000,150700,1210000,10100,1460300,1199900,0.0200000000000001
ABEV3,2017-01-20,0.289017341040476,2080000,3e+05,1467100,9858700,19885,3075100,70300,1201900,10100,3004800,1191800,0.0188571428571428
ABEV3,2017-01-23,-0.0576368876080813,517900,317900,1799800,6555000,16091,976200,74400,625000,15000,901800,610000,0.0132183908045975
ABEV3,2017-01-24,0.173720803386157,1879900,750000,2027800,11136000,22493,6788200,4214600,1714300,1714200,2573600,100,0.0183381088825215
ABEV3,2017-01-26,0.057803468208073,1639800,1164200,1255500,7789000,14881,2636000,4892600,2328300,2328300,-2256600,0,0.0097309673726387
ABEV3,2017-01-27,0.0577700751011045,2721900,1500000,1500000,13214700,26798,1152200,208600,218700,19900,943600,198800,0.0212765957446809
ABEV3,2017-01-30,-2.02078521939955,444200,244200,810000,6124600,18305,631100,322600,50800,50800,308500,0,0.0248267898383372
ABEV3,2017-01-31,1.3553329404832,857500,358800,2096700,7057100,12089,514400,545700,47000,270000,-31300,-223000,0.0197101449275362
ABEV3,2017-02-01,0.697674418604666,2051400,623400,2797300,10992500,19312,2045800,1818600,600700,600700,227200,0,0.0114744693057946
ABEV3,2017-02-02,-0.923787528868358,703900,292800,1146100,6398900,14685,3421800,482200,675600,1e+05,2939600,575600,0.0132641291810842
ABEV3,2017-02-03,1.10722610722611,2414500,394400,3443300,13562500,40310,11412100,152100,4361900,22800,11260000,4339100,0.0264367816091952
ABEV3,2017-02-06,-1.61383285302594,673400,477600,1858600,6596100,16378,761700,187600,27700,21500,574100,6200,0.0207015526164462
ABEV3,2017-02-07,-0.292911540714713,3154000,518800,3418200,9300200,12420,598500,992500,231900,231900,-394000,0,0.0139049826187718
ABEV3,2017-02-08,-0.352526439482959,4736600,1e+06,1730200,13096700,18174,1461500,244200,2e+05,1e+05,1217300,1e+05,0.0169590643274855
ABEV3,2017-02-09,-0.4127358490566,2421200,7e+05,902500,11002200,19630,966900,56300,254100,10100,910600,244000,0.0146370023419204
ABEV3,2017-02-10,1.4801657785672,3413600,8e+05,2440200,12688200,22762,6924400,4025700,1500000,1227000,2898700,273000,0.0255368543238538
ABEV3,2017-02-13,0.641773628938158,2058700,579200,1021900,9005500,21470,4729600,1075100,1500000,1e+06,3654500,5e+05,0.017846862406448
ABEV3,2017-02-14,0.753623188405794,1692000,490000,2348600,10668300,19443,5499700,363700,1958500,30000,5136000,1928500,0.0171135196805477
ABEV3,2017-02-15,3.68239355581128,1072700,264000,1781600,18161900,37664,6397300,230400,2e+06,20400,6166900,1979600,0.0342920353982299
ABEV3,2017-02-16,-0.277469478357384,4224600,947000,5576400,12169400,20031,1556400,118600,754500,14100,1437800,740400,0.011627906976744
ABEV3,2017-02-17,-0.389538119087374,575800,300800,1726700,7025800,13422,1206600,1084400,2e+05,260000,122200,-60000,0.0116601887840089
ABEV3,2017-02-20,-0.335195530726251,0,50000,583700,3507600,9576,488300,441200,38300,142800,47100,-104500,0.0127706829539145
ABEV3,2017-02-21,1.28923766816145,810200,247500,1437100,8323600,18112,5062600,4698700,1999900,2e+06,363900,-100,0.0138121546961326
ABEV3,2017-02-22,1.16214720531267,2548600,770400,3593100,11232800,22674,1882300,311100,2e+05,22900,1571200,177100,0.0157608695652173
ABEV3,2017-02-23,-0.820568927789944,808900,524100,2020600,10925500,25748,2674100,871200,440000,3e+05,1802900,140000,0.0258203335126412
ABEV3,2017-02-24,-1.59955874241589,3127800,745000,2599000,12946300,21876,4194700,2687900,1e+06,999900,1506800,100,0.0165837479270315
ABEV3,2017-03-01,0.392376681614359,1089000,850000,1113000,8762400,19548,275600,77000,73600,12000,198600,61600,0.0187224669603524
ABEV3,2017-03-02,-3.90843104410943,486700,204900,2326400,19515700,41967,1712900,736600,158900,159000,976300,-100,0.018317115054379
ABEV3,2017-03-03,1.04590354445089,961000,350000,1289700,12016300,18956,910800,667400,186500,186500,243400,0,0.0206422018348626
ABEV3,2017-03-06,-0.805060379528466,1309800,350000,2203300,11989900,18022,442200,291900,23800,18000,150300,5800,0.0212888377445338
ABEV3,2017-03-07,-2.4927536231884,7923200,2800000,5067800,17651100,17134,1826000,2894400,5e+05,5e+05,-1068400,0,0.0232288037166085
ABEV3,2017-03-08,1.78359096313911,11190000,1e+06,1532900,21297600,19691,13788200,15280700,7e+06,8400000,-1492500,-1400000,0.0278583865351132
